insee_code;school_name;secteur;ips_score
35047;ECOLE ELEMENTAIRE PUBLIQUE LE VERT BUISSON;public;116.5
35003;ECOLE PRIMAIRE PUBLIQUE LES PRES VERTS;public;113.9
35243;ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC;public;106.1
35318;ECOLE PRIMAIRE PUBLIQUE ST THUAL LA BAUSSAINE;public;109.3
35138;ECOLE PRIMAIRE PUBLIQUE LES TROIS CHENES;public;95.2
35198;ECOLE PRIMAIRE PUBLIQUE SIMONE VEIL;public;108.4
36235;ECOLE ELEMENTAIRE;public;88.1
36241;ECOLE ELEMENTAIRE MAURICE ROLLINAT;public;98.2
36247;ECOLE PRIMAIRE DES VIGNES R VINCENT;public;100.6
36044;ECOLE PRIMAIRE D APPLICATION ARAGO;public;93.0
36006;ECOLE ELEMENTAIRE PAUL BERT;public;110.4
36010;ECOLE ELEMENTAIRE LES MARRONNIERS;public;102.2
36021;ECOLE PRIMAIRE;public;96.5
36093;ECOLE ELEMENTAIRE JOSEPH PECHERAT;public;96.8
36154;ECOLE ELEMENTAIRE JACQUES PREVERT;public;106.5
36156;ECOLE ELEMENTAIRE;public;89.0
36044;ECOLE ELEMENTAIRE LAMARTINE;public;95.6
36045;ECOLE PRIMAIRE HENRI COSNIER;public;90.0
36046;ECOLE ELEMENTAIRE MAURICE ROLLINAT;public;91.7
36233;ECOLE PRIMAIRE JEAN DE LA FONTAINE;public;86.2
36088;ECOLE ELEMENTAIRE SAINT EXUPERY;public;82.5
