median_income,nb_households,median_price_m2,predicted_price,residual_error,insee_code,commune,dept_code
21470.0,767.0,1098.901098901099,1388.439601828945,-289.5385029278459,02371,HARLY,02
16460.0,3803.0,828.5714285714286,1164.6902079476595,-336.1187793762309,02381,HIRSON,02
23890.0,578.0,1649.20625,1778.2922011920673,-129.08595119206734,02382,HOLNON,02
25090.0,601.0,1086.9565217391305,1485.2638647921924,-398.3073430530619,02383,HOMBLIERES,02
22640.0,283.0,2045.1530612244896,2007.5915543140782,37.56150691041148,02389,JAULGONNE,02
20940.0,85.0,1153.7541846006695,1280.7903883284669,-127.03620372779733,02391,JEANTES,02
18000.0,11004.0,1238.7218045112782,1684.7673493872478,-446.04554487596965,02408,LAON,02
18670.0,936.0,1418.739155581261,1374.5205230192917,44.21863256196934,02468,MARLE,02
20690.0,327.0,1101.5838509316768,1638.19088647868,-536.6070355470033,02500,MONTBREHAIN,02
18140.0,545.0,1405.5555555555557,1881.6693347675932,-476.11377921203757,02502,MONTCORNET,02
22300.0,286.0,1353.0452083563614,1334.3994706958233,18.64573766053809,02520,MONT NOTRE DAME,02
24450.0,497.0,2386.3636363636365,2311.077696442974,75.28593992066271,02521,MONTREUIL AUX LIONS,02
20960.0,829.0,1213.5922330097087,1712.898056153498,-499.3058231437892,02543,NEUILLY SAINT FRONT,02
21670.0,860.0,2105.2631578947367,1904.1214514621338,201.14170643260286,02555,NOGENT L ARTAUD,02
19230.0,1126.0,1060.0,1147.848716197638,-87.84871619763794,02558,LE NOUVION-EN-THIERACHE,02
21090.0,334.0,1369.5176808696738,1305.088771116004,64.42890975366981,02580,OULCHY-LE-CHATEAU,02
20050.0,734.0,1457.142857142857,1227.8639029670962,229.27895417576087,02602,PINON,02
23300.0,246.0,1878.8995215311006,1714.2385066570566,164.66101487404399,02613,PONTAVERT,02
19520.0,843.0,978.1626506024097,1084.1198531992677,-105.957202596858,02648,RIBEMONT,02
21480.0,700.0,1432.9113924050635,1897.6254010835216,-464.7140086784582,02676,ST ERME OUTRE ET RAMECOURT,02
21840.0,903.0,906.25,1111.869232615513,-205.61923261551306,02680,SAINT GOBAIN,02
18600.0,1358.0,794.7542653425007,1224.6302781880547,-429.876012845554,02684,SAINT MICHEL,02
18400.0,24352.0,1150.0,1692.7705757614956,-542.7705757614956,02691,SAINT QUENTIN,02
21070.0,111.0,1820.6521739130435,1788.6672792051054,31.98489470793811,02699,SAPONAY,02
21890.0,889.0,1182.7380952380952,1313.867358767644,-131.12926352954878,02719,SINCENY,02
18280.0,12797.0,1718.072463768116,2585.221772216212,-867.1493084480958,02722,SOISSONS,02
18550.0,5933.0,1176.4705882352941,1581.3511206782548,-404.88053244296066,02738,TERGNIER,02
20750.0,973.0,1827.5862068965516,1723.1348161598935,104.45139073665814,02758,VAILLY-SUR-AISNE,02
18480.0,1171.0,1086.9565217391305,1132.8126010433473,-45.85607930421679,02789,VERVINS,02
21250.0,153.0,1348.0392156862745,1610.0476620597626,-262.00844637348814,02799,VIERZY,02
20260.0,4494.0,1946.3459759481962,2062.8515984426067,-116.50562249441055,02810,VILLERS-COTTERETS,02
23470.0,287.0,1235.284280936455,1290.5783753544454,-55.294094417990436,02821,VIVAISE,02
23170.0,1316.0,1836.5384615384614,1838.734113528043,-2.19565198958162,03001,ABREST,03
23560.0,1902.0,1727.891156462585,1963.680056277836,-235.78889981525094,03013,AVERMES,03
21660.0,772.0,1047.481796116505,1272.310719534066,-224.8289234175611,03019,BEAULON,03
23070.0,4233.0,2078.7011557512383,2251.2567171126557,-172.5555613614174,03023,BELLERIVE SUR ALLIER,03
21880.0,1122.0,1557.377049180328,1790.5613104438912,-233.18426126356326,03036,BOURBON-L ARCHAMBAULT,03
26380.0,485.0,1720.9302325581396,1802.223364879535,-81.29313232139543,03040,BRESSOLLES,03
21530.0,545.0,1448.75,1279.1550528840685,169.59494711593152,03043,BROUT-VERNET,03
20180.0,588.0,974.390243902439,1249.0386275198769,-274.64838361743784,03048,CERILLY,03
20330.0,3120.0,1000.0,1191.0362157590018,-191.03621575900183,03082,COMMENTRY,03
20910.0,1030.0,1131.5987933634992,1231.4097929827492,-99.81099961924997,03084,COSNE-D ALLIER,03
25400.0,1479.0,1803.5714285714287,2107.8071209098057,-304.235692338377,03094,CREUZIER-LE-VIEUX,03
20770.0,6315.0,1455.0824175824177,1646.4591097861103,-191.37669220369253,03095,CUSSET,03
22100.0,2143.0,1074.0740740740741,1472.307471336718,-398.23339726264385,03098,DESERTINES,03
22590.0,4065.0,1356.060606060606,1659.5866326668206,-303.5260266062146,03101,DOMERAT,03
21010.0,1465.0,1111.111111111111,1319.5024564108617,-208.39134529975058,03102,DOMPIERRE-SUR-BESBRE,03
21210.0,288.0,1333.989898989899,1495.5281822593188,-161.5382832694197,03112,ETROUSSAT,03
